Logo;Nombre;Descripción;Tema;Enlace
https://bookdown.org/ndphillips/YaRrr/images/YaRrr_Cover.jpg;YaRrr! The Pirate’s Guide to R;Ebook: The purpose of this book is to help you learn R from the ground-up.;General de R;(https://bookdown.org/ndphillips/YaRrr/)[https://bookdown.org/ndphillips/YaRrr/]
https://pbs.twimg.com/profile_images/1124352295448092672/kruQyvMK_400x400.jpg;Rladies Xalapa;Iniciativa que promueve la diversidad de género en la comunidad de R. Charlas menuales de diversos temas con invitados;General de R y diversidad de Genero STEM;https://twitter.com/RLadiesXalapa?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
https://ourcodingclub.github.io/assets/img/logos/Logo_Data_Science_smallest.png;CODING CLUB: A POSITIVE PEER-LEARNING COMMUNITY;online course Data Science for Ecologists and Environmental Scientists;R aplicado a ecología. Manejo de R y transformación de datos, visualización de información, Modelamiento estadístico para ecólogos, estadística espacial para ecólogos, meta-análisis y muchas cosas más en forma de mini tutoriales gratuitos;https://ourcodingclub.github.io/
https://easystats.github.io/easystats/logo.png;Easystats: Jump in the Easyverse;A collection of R packages, which aims to provide a unifying and consistent framework to tame, discipline, and harness the scary R statistics and their pesky models.;Modelamiento estadístico y más, de una forma relativamente sencilla;https://github.com/easystats/easystats
https://user-images.githubusercontent.com/67192157/113421174-e6376900-93ca-11eb-8a07-4ae2fd63b493.png;RCHARTS por Rcoders;Este sitio ha sido creado con el objetivo de ser una referencia en cuanto a creación de gráficos en R, así como un lugar al que venir en busca de inspiración.;graficación en R con instrucciones y argumentos para polot base, ggplot entre otros;https://r-charts.com/es/
https://r-graph-gallery.com/img/logo/R_single_medium.png;The R Graph Gallery;A collection of charts made with the R programming language;Muchos ejemplos de diferentes tipos de gráficos;https://www.r-graph-gallery.com/
https://www.rforecology.com/media/logo_hu79e4c31f2037bf5f26b941f1d8a66338_12106_0x70_resize_lanczos_2.png;R For Ecologist;courses based on what I wish I had when I started as a grad student in ecology, and I am excited to share them with you;Cursos y blogs de R para ecologos (algunos son pagos);https://www.rforecology.com/
https://pbs.twimg.com/profile_images/1345033369910796290/NoF_Yy6g_400x400.jpg;Ecology in R;Grupo de facebook (muy bueno).Discussion group for scientists to share, troubleshoot, and improve R code for their ecology projects and data analysis.;Un foro donde se pregunta y se discute casi que de cualquier tema sobre ecología, R y estadística. La mayoría es en ingles pero también hay personas que preguntan y ayudan en español;https://www.facebook.com/groups/ecologyinr/
https://es.r4ds.hadley.nz/hex_r4ds-es.png;R para Ciencia de datos;versión en español de “R for Data Science”, de Hadley Wickham y Garrett Grolemund. Este texto te enseñará cómo hacer ciencia de datos con R: aprenderás a importar datos, llevarlos a la estructura más conveniente, transformarlos, visualizarlos y modelarlos.;aprenderás a usar la gramática de gráficos, programación letrada e investigación reproducible para ahorrar tiempo. Además, aprenderás a manejar recursos cognitivos para facilitar el hacer descubrimientos al momento de manipular, visualizar y explorar datos.;https://es.r4ds.hadley.nz/
https://pbs.twimg.com/profile_images/1116327895297921024/1vaomDeb_400x400.png;Ecological Forecasting Initiative;EFI and the ESA Statistical Ecology Section are hosting this virtual seminar series that demonstrates a variety of quantitative methods applied within Ecology and Environmental Science in the R programming language. Attendees will gain valuable insight into methods that they may or may not be familiar with from experts on a given topic. ;Seminarios de estadística aplicados a ecología. Talleres de gente muy buena trabajando en estadística para la ecología;https://ecoforecast.org/workshops/statistical-methods-seminar-series/
